ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Year_Birth_log,Income_log,MntWines_log,MntFruits_log,MntMeatProducts_log,MntFishProducts_log,MntSweetProducts_log,MntGoldProds_log,NumDealsPurchases_log,NumWebPurchases_log,NumCatalogPurchases_log,NumWebVisitsMonth_log,AcceptedCmp3_log,AcceptedCmp4_log,AcceptedCmp5_log,AcceptedCmp1_log,AcceptedCmp2_log,Complain_log,Response_log,Age,Tenure_days,Total_Spent,DBSCAN_Cluster,GMM_Cluster,KMeans_Cluster,Hierarchical_Cluster,Final_Cluster,Cluster_Name
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,7.579678823090456,10.970591974102547,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,1.3862943611198906,2.1972245773362196,2.3978952727983707,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,68,4502,1648.3788480694566,0,1,1,2,1,High Income - High Spending
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,7.578145472419466,10.743868690309933,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,0.6931471805599453,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,3952,35.86163359768663,0,2,2,3,2,Medium Income - Deal Seekers
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,7.583756300707112,11.179045864561353,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,0.6931471805599453,2.1972245773362196,1.0986122886681096,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,4151,802.3915787229233,0,1,3,1,3,Young Frequent Buyers
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,7.59337419312129,10.190431852901,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,1.0986122886681096,1.0986122886681096,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,3978,65.71481610309185,0,2,0,0,0,Low Income - Low Spending
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,7.591861714889934,10.973254451090401,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,1.791759469228055,1.791759469228055,1.3862943611198906,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,4000,445.6773092603693,0,3,3,1,3,Young Frequent Buyers
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,7.584773077612199,11.043145810640238,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,1.0986122886681096,1.9459101490553132,1.6094379124341003,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,4132,737.0813203243772,0,1,3,2,3,Young Frequent Buyers
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,7.586803535162581,10.926585752727021,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,1.6094379124341003,2.0794415416798357,1.3862943611198906,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,4432,615.9354851692802,0,3,3,1,3,Young Frequent Buyers
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,7.593877844605118,10.417956531216918,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,1.0986122886681096,1.6094379124341003,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4256,185.0422473345144,0,2,0,0,0,Low Income - Low Spending
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,7.5883236773352225,10.320617692174796,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681096,0.6931471805599453,1.3862943611198906,0.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,51,4227,55.79812703687829,0,2,0,0,0,Low Income - Low Spending
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,7.576097340623111,8.639233817325263,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.639057329615259,0.6931471805599453,0.6931471805599453,0.0,3.044522437723423,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,75,3947,58.33855766977695,-1,0,0,0,0,Low Income - Low Spending
